
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west | 
      0.02604 |       0.00726 |       0.00726 |       0.00000 |      18.33409 |      13.33409 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.83184 |      14.93660 |      14.93660 |       0.99746 |     661.34491 |       0.00019 |      32.14641 |     -36.78194 |     -73.06851 |      58.05923 |       0.00290 |       1.00000 |       0.42228 |     -38.00000 |     -75.00000 | 
      2.87482 |       0.96446 |       0.96446 |       0.00000 |      18.33436 |      13.33436 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34290 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92363 |       0.86738 |       1.00000 |      36.71378 |     -38.00000 |     -75.00000 | 
      3.87489 |       1.96493 |       1.96493 |       0.00000 |      18.33462 |      13.33462 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92141 |       0.86517 |       1.00000 |      50.82434 |     -38.00000 |     -75.00000 | 
      4.87477 |       2.96487 |       2.96487 |       0.00000 |      18.33488 |      13.33488 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92146 |       0.86522 |       1.00000 |      55.96793 |     -38.00000 |     -75.00000 | 
      5.87483 |       3.96487 |       3.96487 |       0.00000 |      18.33514 |      13.33514 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92199 |       0.86574 |       1.00000 |      57.84504 |     -38.00000 |     -75.00000 | 
      6.87480 |       4.96490 |       4.96490 |       0.00000 |      18.33540 |      13.33540 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92194 |       0.86570 |       1.00000 |      58.52958 |     -38.00000 |     -75.00000 | 
      7.87556 |       5.96562 |       5.96562 |       0.00000 |      18.33566 |      13.33566 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92194 |       0.86570 |       1.00000 |      58.77939 |     -38.00000 |     -75.00000 | 
      8.87558 |       6.96564 |       6.96564 |       0.00000 |      18.33592 |      13.33592 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92191 |       0.86566 |       1.00000 |      58.87039 |     -38.00000 |     -75.00000 | 
      9.87550 |       7.96559 |       7.96559 |       0.00000 |      18.33618 |      13.33618 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93489 |       0.99743 |     661.34296 |       0.00000 |      32.14640 |     -36.78194 |     -73.06851 |      58.92184 |       0.86559 |       1.00000 |      58.90352 |     -38.00000 |     -75.00000 | 
     10.87538 |       8.96554 |       8.96554 |       0.00000 |      18.33644 |      13.33644 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83099 |      14.93489 |      14.93492 |       0.99743 |     661.34296 |       0.00084 |      32.14640 |     -36.78193 |     -73.06851 |      58.92123 |       0.86546 |       1.00000 |      58.91506 |     -38.00000 |     -75.00000 | 
     11.87535 |       9.96551 |       9.96551 |       0.00000 |      18.33670 |      13.33670 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83100 |      14.93490 |      14.93540 |       0.99743 |     661.34296 |       0.01350 |      32.14640 |     -36.78193 |     -73.06850 |      58.91575 |       0.86243 |       1.00000 |      58.91417 |     -38.00000 |     -75.00000 | 
     12.87541 |      10.96546 |      10.96546 |       0.00000 |      18.33696 |      13.33696 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83102 |      14.93495 |      14.94264 |       0.99743 |     661.34302 |       0.20478 |      32.14640 |     -36.78191 |     -73.06850 |      58.89107 |       0.84847 |       1.00000 |      58.89154 |     -38.00000 |     -75.00000 | 
     13.87538 |      11.96547 |      11.96547 |       0.00000 |      18.33722 |      13.33722 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83111 |      14.93514 |      14.98236 |       0.99744 |     661.34320 |       1.24030 |      32.14640 |     -36.78186 |     -73.06847 |      58.79278 |       0.83824 |       1.00000 |      58.79563 |     -38.00000 |     -75.00000 | 
     14.87537 |      12.96539 |      12.96539 |       0.00000 |      18.33748 |      13.33748 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83133 |      14.93557 |      15.07964 |       0.99744 |     661.34369 |       3.75168 |      32.14640 |     -36.78175 |     -73.06840 |      58.57238 |       0.85740 |       1.00000 |      58.57899 |     -38.00000 |     -75.00000 | 
     15.87524 |      13.96537 |      13.96537 |       0.00000 |      18.33774 |      13.33774 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83166 |      14.93623 |      15.24438 |       0.99745 |     661.34448 |       7.99177 |      32.14640 |     -36.78157 |     -73.06830 |      58.23812 |       0.84952 |       1.00000 |      58.24349 |     -38.00000 |     -75.00000 | 
     16.87522 |      14.96532 |      14.96532 |       0.00000 |      18.33800 |      13.33800 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83188 |      14.93668 |      15.48194 |       0.99746 |     661.34497 |      14.10703 |      32.14641 |     -36.78134 |     -73.06816 |      58.01286 |       0.85051 |       1.00000 |      58.01842 |     -38.00000 |     -75.00000 | 
     17.87521 |      15.96530 |      15.96530 |       0.00000 |      18.33826 |      13.33826 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83232 |      14.93756 |      15.79372 |       0.99747 |     661.34595 |      22.11485 |      32.14641 |     -36.78103 |     -73.06799 |      57.56583 |       0.83412 |       1.00000 |      57.57244 |     -38.00000 |     -75.00000 | 
     18.87518 |      16.96530 |      16.96530 |       0.00000 |      18.33852 |      13.33852 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83259 |      14.93810 |      16.17669 |       0.99748 |     661.34662 |      31.95676 |      32.14641 |     -36.78065 |     -73.06777 |      57.28458 |       0.89842 |       1.00000 |      57.29718 |     -38.00000 |     -75.00000 | 
     19.87516 |      17.96525 |      17.96525 |       0.00000 |      18.33879 |      13.33879 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83321 |      14.93934 |      16.62729 |       0.99749 |     661.34802 |      43.51407 |      32.14641 |     -36.78021 |     -73.06751 |      56.66679 |       0.83710 |       1.00000 |      56.66991 |     -38.00000 |     -75.00000 | 
     20.87513 |      18.96523 |      18.96523 |       0.00000 |      18.33905 |      13.33905 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83356 |      14.94005 |      17.13879 |       0.99750 |     661.34882 |      56.64539 |      32.14642 |     -36.77971 |     -73.06722 |      56.31571 |       0.78233 |       1.00000 |      56.31413 |     -38.00000 |     -75.00000 | 
     21.87510 |      19.96520 |      19.96520 |       0.00000 |      18.33931 |      13.33931 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83403 |      14.94098 |      17.70664 |       0.99751 |     661.34985 |      71.21417 |      32.14642 |     -36.77913 |     -73.06689 |      55.83495 |       0.84329 |       1.00000 |      55.84015 |     -38.00000 |     -75.00000 | 
     22.87506 |      20.96515 |      20.96515 |       0.00000 |      18.33957 |      13.33957 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83443 |      14.94180 |      18.32226 |       0.99753 |     661.35083 |      87.00865 |      32.14642 |     -36.77848 |     -73.06652 |      55.42713 |       0.84209 |       1.00000 |      55.42639 |     -38.00000 |     -75.00000 | 
     23.87505 |      21.96516 |      21.96516 |       0.00000 |      18.33983 |      13.33983 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83496 |      14.94285 |      18.97741 |       0.99754 |     661.35205 |     103.80760 |      32.14642 |     -36.77778 |     -73.06612 |      54.88235 |       1.02489 |       1.00000 |      54.89613 |     -38.00000 |     -75.00000 | 
     24.87502 |      22.96511 |      22.96511 |       0.00000 |      18.34009 |      13.34009 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83534 |      14.94362 |      19.65695 |       0.99755 |     661.35297 |     121.22637 |      32.14642 |     -36.77701 |     -73.06567 |      54.49749 |       1.12826 |       1.00000 |      54.50620 |     -38.00000 |     -75.00000 | 
     25.87510 |      23.96512 |      23.96512 |       0.00000 |      18.34035 |      13.34035 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83496 |      14.94286 |      20.29596 |       0.99754 |     661.35205 |     137.60483 |      32.14642 |     -36.77619 |     -73.06520 |      54.91267 |       1.59750 |       1.00000 |      54.89296 |     -38.00000 |     -75.00000 | 
     26.87498 |      24.96506 |      24.96506 |       0.00000 |      18.34061 |      13.34061 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.83162 |      14.93615 |      20.81549 |       0.99745 |     661.34436 |     151.04082 |      32.14640 |     -36.77532 |     -73.06470 |      58.38799 |       6.53698 |       1.00000 |      58.28532 |     -38.00000 |     -75.00000 | 
     27.87495 |      25.96504 |      25.96504 |       0.00000 |      18.34087 |      13.34087 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.82296 |      14.91877 |      21.18820 |       0.99722 |     661.32446 |     160.94122 |      32.14638 |     -36.77442 |     -73.06419 |      67.26690 |      16.63985 |       1.00000 |      67.07032 |     -38.00000 |     -75.00000 | 
     28.87492 |      26.96501 |      26.96501 |       0.00000 |      18.34113 |      13.34113 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.80686 |      14.88644 |      21.38896 |       0.99679 |     661.28729 |     166.79462 |      32.14633 |     -36.77349 |     -73.06366 |      83.77876 |      34.29544 |       1.00000 |      83.42017 |     -38.00000 |     -75.00000 | 
     29.87490 |      27.96498 |      27.96498 |       0.00000 |      18.34139 |      13.34139 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.78076 |      14.83404 |      21.48001 |       0.99610 |     661.22717 |     170.33240 |      32.14625 |     -36.77256 |     -73.06313 |     110.43903 |      62.00671 |       1.00000 |     109.91486 |     -38.00000 |     -75.00000 | 
     30.87488 |      28.96500 |      28.96500 |       0.00000 |      18.34165 |      13.34165 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.74482 |      14.76182 |      21.50632 |       0.99515 |     661.14423 |     172.67023 |      32.14614 |     -36.77161 |     -73.06258 |     147.12311 |      99.86339 |       1.00000 |     146.42557 |     -38.00000 |     -75.00000 | 
     31.87494 |      29.96495 |      29.96495 |       0.00000 |      18.34191 |      13.34191 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.69825 |      14.66824 |      21.47247 |       0.99392 |     661.03680 |     173.97458 |      32.14599 |     -36.77066 |     -73.06205 |     194.62213 |     148.16310 |       1.00000 |     193.74524 |     -38.00000 |     -75.00000 | 
     32.87482 |      30.96491 |      30.96491 |       0.00000 |      18.34217 |      13.34217 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.64185 |      14.55481 |      21.39301 |       0.99242 |     660.90649 |     174.56404 |      32.14581 |     -36.76972 |     -73.06151 |     252.13597 |     205.74651 |       1.00000 |     251.09589 |     -38.00000 |     -75.00000 | 
     33.87489 |      31.96491 |      31.96491 |       0.00000 |      18.34243 |      13.34243 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.57567 |      14.42165 |      21.26464 |       0.99066 |     660.75354 |     174.36971 |      32.14561 |     -36.76877 |     -73.06098 |     319.62952 |     273.22021 |       1.00000 |     318.42560 |     -38.00000 |     -75.00000 | 
     34.87480 |      32.96489 |      32.96489 |       0.00000 |      18.34269 |      13.34269 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.50039 |      14.27002 |      21.09624 |       0.98866 |     660.57928 |     173.58408 |      32.14537 |     -36.76783 |     -73.06045 |     396.44397 |     350.24789 |       1.00000 |     395.08817 |     -38.00000 |     -75.00000 | 
     35.87480 |      33.96489 |      33.96489 |       0.00000 |      18.34295 |      13.34295 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.41721 |      14.10237 |      20.92118 |       0.98645 |     660.38660 |     173.01755 |      32.14511 |     -36.76690 |     -73.05993 |     481.31137 |     435.37375 |       1.00000 |     479.85541 |     -38.00000 |     -75.00000 | 
     36.87477 |      34.96486 |      34.96486 |       0.00000 |      18.34321 |      13.34321 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.32928 |      13.92497 |      20.72871 |       0.98411 |     660.18268 |     172.20995 |      32.14484 |     -36.76596 |     -73.05940 |     571.10229 |     524.98688 |       1.00000 |     569.55414 |     -38.00000 |     -75.00000 | 
     37.87476 |      35.96482 |      35.96482 |       0.00000 |      18.34347 |      13.34347 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.23649 |      13.73755 |      20.54234 |       0.98164 |     659.96716 |     171.82602 |      32.14454 |     -36.76503 |     -73.05889 |     665.90576 |     619.81561 |       1.00000 |     664.31702 |     -38.00000 |     -75.00000 | 
     38.87482 |      36.96482 |      36.96482 |       0.00000 |      18.34373 |      13.34373 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.14257 |      13.54767 |      20.35483 |       0.97913 |     659.74866 |     171.43275 |      32.14425 |     -36.76411 |     -73.05837 |     761.94781 |     716.02789 |       1.00000 |     760.32336 |     -38.00000 |     -75.00000 | 
     39.87473 |      37.96478 |      37.96478 |       0.00000 |      18.34399 |      13.34399 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      29.04625 |      13.35273 |      20.16179 |       0.97656 |     659.52441 |     171.04700 |      32.14394 |     -36.76318 |     -73.05786 |     860.53461 |     814.73926 |       0.00000 |     858.88727 |     -38.00000 |     -75.00000 | 
     40.87473 |      38.96478 |      38.96478 |       0.00000 |      18.34425 |      13.34425 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.95033 |      13.15838 |      19.99061 |       0.97399 |     659.30060 |     171.17548 |      32.14365 |     -36.76225 |     -73.05735 |     958.78491 |     912.71277 |       0.00000 |     957.15210 |     -38.00000 |     -75.00000 | 
     41.87469 |      39.96474 |      39.96474 |       0.00000 |      18.34451 |      13.34451 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.85481 |      12.96464 |      19.81324 |       0.97144 |     659.07751 |     171.13620 |      32.14334 |     -36.76131 |     -73.05684 |    1056.74451 |    1010.40198 |       0.00000 |    1055.11218 |     -38.00000 |     -75.00000 | 
     42.87468 |      40.96471 |      40.96471 |       0.00000 |      18.34477 |      13.34477 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.75961 |      12.77134 |      19.63929 |       0.96889 |     658.85480 |     171.17049 |      32.14304 |     -36.76038 |     -73.05633 |    1154.47473 |    1107.66382 |       0.00000 |    1152.84802 |     -38.00000 |     -75.00000 | 
     43.87466 |      41.96471 |      41.96471 |       0.00000 |      18.34504 |      13.34503 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.66539 |      12.57983 |      19.47939 |       0.96636 |     658.63416 |     171.51271 |      32.14275 |     -36.75944 |     -73.05582 |    1251.27161 |    1203.70886 |       0.00000 |    1249.67529 |     -38.00000 |     -75.00000 | 
     44.87465 |      42.96471 |      42.96471 |       0.00000 |      18.34529 |      13.34530 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.57202 |      12.38984 |      19.29120 |       0.96385 |     658.41516 |     171.09396 |      32.14246 |     -36.75850 |     -73.05531 |    1347.36133 |    1299.33752 |       0.00000 |    1345.73755 |     -38.00000 |     -75.00000 | 
     45.87463 |      43.96484 |      43.96484 |       0.00000 |      18.34556 |      13.34556 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.47690 |      12.19609 |      19.10958 |       0.96130 |     658.19171 |     170.96088 |      32.14215 |     -36.75756 |     -73.05481 |    1445.31958 |    1397.44434 |       0.00000 |    1443.70166 |     -38.00000 |     -75.00000 | 
     46.87460 |      44.96463 |      44.96463 |       0.00000 |      18.34582 |      13.34582 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.38350 |      12.00562 |      18.94867 |       0.95878 |     657.97205 |     171.23703 |      32.14185 |     -36.75662 |     -73.05430 |    1541.60156 |    1496.09351 |       0.00000 |    1540.00500 |     -38.00000 |     -75.00000 | 
     47.87457 |      45.96461 |      45.96461 |       0.00000 |      18.34608 |      13.34608 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.29091 |      11.81661 |      18.77590 |       0.95629 |     657.75397 |     171.18697 |      32.14156 |     -36.75567 |     -73.05379 |    1637.16711 |    1592.90991 |       0.00000 |    1635.57141 |     -38.00000 |     -75.00000 | 
     48.87478 |      46.96465 |      46.96465 |       0.00000 |      18.34634 |      13.34634 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.19812 |      11.62699 |      18.59666 |       0.95379 |     657.53503 |     170.99425 |      32.14127 |     -36.75473 |     -73.05328 |    1733.05237 |    1686.51953 |       0.00000 |    1731.44531 |     -38.00000 |     -75.00000 | 
     49.87463 |      47.96458 |      47.96458 |       0.00000 |      18.34660 |      13.34660 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.10528 |      11.43707 |      18.41891 |       0.95128 |     657.31580 |     170.84268 |      32.14097 |     -36.75378 |     -73.05278 |    1829.07812 |    1780.77917 |       0.00000 |    1827.47302 |     -38.00000 |     -75.00000 | 
     50.87655 |      48.96658 |      48.96658 |       0.00000 |      18.34686 |      13.34686 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      28.01230 |      11.24667 |      18.23931 |       0.94877 |     657.09583 |     170.65462 |      32.14067 |     -36.75283 |     -73.05227 |    1925.34900 |    1877.24182 |       0.00000 |    1923.74463 |     -38.00000 |     -75.00000 | 
     51.87652 |      49.96657 |      49.96657 |       0.00000 |      18.34712 |      13.34712 |     424.20731 |      29.92000 |      15.05142 |       0.00000 |       8.13010 |       0.00000 |       0.00000 |       0.00000 |      27.91952 |      11.05647 |      18.05913 |       0.94626 |     656.87610 |     170.44705 |      32.14038 |     -36.75188 |     -73.05176 |    2021.51587 |    1973.54602 |       0.00000 |    2019.91028 |     -38.00000 |     -75.00000 | 
